group;name;protein;fat;carb;calorie
Húskészítmények, belsőségek;Fürj, comb (japán);19,6;5;1,2;132
Húskészítmények, belsőségek;Fürj, mell (japán);22,8;2,3;1,1;119
Húskészítmények, belsőségek;Galamb;19,6;5;1,2;130
Húskészítmények, belsőségek;Kacsa, pecsenye;19;12;0,4;191
Húskészítmények, belsőségek;Kagyló;9;2;6,5;82
Húskészítmények, belsőségek;Kappan;19,3;9,3;0,4;167
Húskészítmények, belsőségek;Liba, hízott;16;35;0,2;392
Húskészítmények, belsőségek;Liba, pecseny;18,5;13,6;0,3;203
Húskészítmények, belsőségek;Marha, bélszín;19;4,4;0,6;121
Húskészítmények, belsőségek;Marha, felsál;17;19;0,6;249
Húskészítmények, belsőségek;Marha, hátszín, lapos;15;18;0,6;231
Húskészítmények, belsőségek;Marha, hátszín, magas;19;17,2;0,6;240
Húskészítmények, belsőségek;Marha, hátszín, puha;19,7;17,8;0,6;249
Húskészítmények, belsőségek;Marha lapocka;21;6,2;0,6;147
Húskészítmények, belsőségek;Marha szegy;16;21;0,5;263
Húskészítmények, belsőségek;Marha tarja;20;6;0,6;140
Húskészítmények, belsőségek;Nutria;20,8;10,5;0,5;185
Húskészítmények, belsőségek;Nyúl, házi;21;8;0,4;162
Húskészítmények, belsőségek;Nyúl, vad;23;1,1;0,5;106
Húskészítmények, belsőségek;Őz;20,8;1,9;0,4;105
Húskészítmények, belsőségek;Pulyka;20,5;9,5;0,4;174
Húskészítmények, belsőségek;Rák;14,9;0,8;2,2;77
Húskészítmények, belsőségek;Sertéscomb, karaj;21;8,1;0,4;163
Húskészítmények, belsőségek;Sertés csülök;16;29;0,3;337
Húskészítmények, belsőségek;Sertés dagadó;12;42;0,3;441
Húskészítmények, belsőségek;Sertés lapocka;17,5;23,9;0,3;295
Húskészítmények, belsőségek;Szarvas;20,7;3,9;0,6;123
Húskészítmények, belsőségek;Tyúk;19;6,5;0,4;140
Húskészítmények, belsőségek;Vaddisznó, színhús;21,6;2,4;0,4;112
Húskészítmények, belsőségek;Vadkacsa;22,7;3,1;0,5;124
Zsiradékok;Angolszalonna;16,8;46,5;0;501
Zsiradékok;Margarin;0,3;79;0,2;737
Zsiradékok;Margarin, sütő;0,5;84;0,4;781
Zsiradékok;Olaj (napraforgó, szója, tökmag);0;99,8;0;928
Zsiradékok;Olívaolaj;0;100;0;900
Zsiradékok;Vaj, szendvics;0,3;70;0,3;653
Zsiradékok;Vaj, tea;0,4;80;0,5;748
Zsiradékok;Vajkrém;2,5;40;2;390
Zsiradékok;Zsír, ami kisül;0;100;0;900
Egyéb;Coca-cola 1 dl;0;0;11;46
Egyéb;Csokoládé főző;1,9;32;64,3;569
Egyéb;Fehér bor félédes 1 dl;0,1;0;2;70
Egyéb;Gyümölcsfagyi;0;0;32,6;134
Egyéb;Jégkrém;2,2;4,5;27,8;164
Egyéb;Kakaópor;21,4;19;32,4;386
Egyéb;Keményítő;9,6;3,1;70,2;347
Egyéb;Ketchup;2;0,3;24;109
Egyéb;Kristálycukor;0;0;99,9;400
Egyéb;Majonéz;1,5;80;3;774
Egyéb;Méz;0,4;0;81;325,6
Egyéb;Mustár;6;6;6;105
Egyéb;Pudingpor;2,5;8,7;75;388,3
Egyéb;Rágógumi gyümölcsös;0,1;0;78,5;310
Egyéb;Sör világos 1dl;0,5;0;2,9;43
Egyéb;Tyúkleves kocka;29,5;26,8;0;359,5
Egyéb;Vörösbor száraz 1dl;0,1;0;0,3;65
----------------------------------------------------------
Gabonafélék, kenyerek, pékáruk;árpagyöngy;9,0;1,4;75,0;350
Gabonafélék, kenyerek, pékáruk;árpapehely;12,0;2,0;75,0;368
Gabonafélék, kenyerek, pékáruk;barnarizs;6,7;2,8;81,3;379
Gabonafélék, kenyerek, pékáruk;burgonyakeményítő;0,6;0,1;83,1;337
Gabonafélék, kenyerek, pékáruk;búzacsíra;25,0;8,0;42,0;342
Gabonafélék, kenyerek, pékáruk;búzadara;9,4;1,0;73,4;342
Gabonafélék, kenyerek, pékáruk;búzakeményítő;0,4;0,1;82,5;334
Gabonafélék, kenyerek, pékáruk;búzakorpa;14,9;4,7;16,7;169
Gabonafélék, kenyerek, pékáruk;búzaliszt;12,3;1,3;76,3;350
Gabonafélék, kenyerek, pékáruk;búzapehely;12,5;1,5;64,0;321
Gabonafélék, kenyerek, pékáruk;durum liszt;12,5;1,5;73,0;357
Gabonafélék, kenyerek, pékáruk;grahamliszt;14,4;1,8;64,4;333
Gabonafélék, kenyerek, pékáruk;hajdina;9,8;1,7;71,3;341
Gabonafélék, kenyerek, pékáruk;köles;9,5;3,9;68,8;350
Gabonafélék, kenyerek, pékáruk;kukoricadara;9,6;3,1;70,2;349
Gabonafélék, kenyerek, pékáruk;kukoricaliszt;9,6;3,1;70,2;349
Gabonafélék, kenyerek, pékáruk;kukoricapehely;7,7;0,6;83,0;370
Gabonafélék, kenyerek, pékáruk;natúr müzli;8,5;2,7;70,0;340
Gabonafélék, kenyerek, pékáruk;puffasztott búzaszelet;13,9;2,6;64,8;340
Gabonafélék, kenyerek, pékáruk;rizs;8,0;0,3;77,5;352
Gabonafélék, kenyerek, pékáruk;rozsliszt;10,0;1,1;73,6;346
Gabonafélék, kenyerek, pékáruk;rozspehely;8,8;1,7;60,7;295
Gabonafélék, kenyerek, pékáruk;zabkorpa;15,3;5,5;57,0;340
Gabonafélék, kenyerek, pékáruk;zabpehely;14,4;6,8;64,3;378
Gabonafélék, kenyerek, pékáruk;zsemlemorzsa;10,2;0,9;73,3;344
Gabonafélék, kenyerek, pékáruk;zsírtalan szójaliszt;47,0;2,0;31,0;332
Gabonafélék, kenyerek, pékáruk;burgonyás kenyér;10,8;1,7;49,7;259
Gabonafélék, kenyerek, pékáruk;félbarna kenyér;9,8;1,0;52,3;259
Gabonafélék, kenyerek, pékáruk;kenyér;10,0;0,8;53,5;251
Gabonafélék, kenyerek, pékáruk;bakonyi barna kenyér;8,5;0,8;50,6;245
Gabonafélék, kenyerek, pékáruk;dabasi rozsos kenyér;10,1;1,8;49,9;257
Gabonafélék, kenyerek, pékáruk;graham kenyér;10,1;1,0;54,0;267
Gabonafélék, kenyerek, pékáruk;lenmagos barnakenyér;14,4;5,7;54,8;330
Gabonafélék, kenyerek, pékáruk;magvas barnakenyér;10,9;8,5;44,6;300
Gabonafélék, kenyerek, pékáruk;rozskenyér;8,1;0,9;53,6;256
Gabonafélék, kenyerek, pékáruk;korpás zsemle, kifli;10,5;1,5;48,9;252
