group;name;protein;fat;carb;calorie
Húsok;Nutria;20,8;10,5;0,5;185
Húsok;Nyúl, házi;21;8;0,4;162
Húsok;Nyúl, vad;23;1,1;0,5;106
Húsok;Őz;20,8;1,9;0,4;105
Húsok;Pulyka;20,5;9,5;0,4;174
Húsok;Rák;14,9;0,8;2,2;77
Húsok;Sertéscomb, karaj;21;8,1;0,4;163
Húsok;Sertés csülök;16;29;0,3;337
Húsok;Sertés dagadó;12;42;0,3;441
Húsok;Sertés lapocka;17,5;23,9;0,3;295
Húsok;Szarvas;20,7;3,9;0,6;123
Húsok;Tyúk;19;6,5;0,4;140
Húsok;Vaddisznó, színhús;21,6;2,4;0,4;112
Húsok;Vadkacsa;22,7;3,1;0,5;124
Zsiradékok;Angolszalonna;16,8;46,5;0;501
Zsiradékok;Margarin;0,3;79;0,2;737
Zsiradékok;Margarin, sütő;0,5;84;0,4;781
Zsiradékok;Olaj (napraforgó, szója, tökmag);0;99,8;0;928
Zsiradékok;Olívaolaj;0;100;0;900
Zsiradékok;Vaj, szendvics;0,3;70;0,3;653
Zsiradékok;Vaj, tea;0,4;80;0,5;748
Zsiradékok;Vajkrém;2,5;40;2;390
Zsiradékok;Zsír, ami kisül;0;100;0;900
#Egyéb;Coca-cola 1 dl;0;0;11;46
#Egyéb;Csokoládé főző;1,9;32;64,3;569
#Egyéb;Fehér bor félédes 1 dl;0,1;0;2;70
#Egyéb;Gyümölcsfagyi;0;0;32,6;134
#Egyéb;Jégkrém;2,2;4,5;27,8;164
#Egyéb;Kakaópor;21,4;19;32,4;386
#Egyéb;Keményítő;9,6;3,1;70,2;347
#Egyéb;Ketchup;2;0,3;24;109
#Egyéb;Kristálycukor;0;0;99,9;400
#Egyéb;Majonéz;1,5;80;3;774
#Egyéb;Méz;0,4;0;81;325,6
#Egyéb;Mustár;6;6;6;105
#Egyéb;Pudingpor;2,5;8,7;75;388,3
#Egyéb;Rágógumi gyümölcsös;0,1;0;78,5;310
#Egyéb;Sör világos 1dl;0,5;0;2,9;43
#Egyéb;Tyúkleves kocka;29,5;26,8;0;359,5
#Egyéb;Vörösbor száraz 1dl;0,1;0;0,3;65
Gabonafélék, kenyerek, pékáruk;árpagyöngy;9,0;1,4;75,0;350
Gabonafélék, kenyerek, pékáruk;árpapehely;12,0;2,0;75,0;368
Gabonafélék, kenyerek, pékáruk;barnarizs;6,7;2,8;81,3;379
Gabonafélék, kenyerek, pékáruk;burgonyakeményítő;0,6;0,1;83,1;337
Gabonafélék, kenyerek, pékáruk;búzacsíra;25,0;8,0;42,0;342
Gabonafélék, kenyerek, pékáruk;búzadara;9,4;1,0;73,4;342
Gabonafélék, kenyerek, pékáruk;búzakeményítő;0,4;0,1;82,5;334
Gabonafélék, kenyerek, pékáruk;búzakorpa;14,9;4,7;16,7;169
Gabonafélék, kenyerek, pékáruk;búzaliszt;12,3;1,3;76,3;350
